"shooterName","SkaterTeam","position","Goals","Misses","Shots","Ice.AVG","Shot.Dist.AVG","goal.Percentage","Blocked","Successful","Accuracy"
"Jimmy Vesey","NYR","L",50,202,491,31,25,10.18,239,289,58.8594704684318
"Jimmy Vesey","VAN","L",50,202,491,31,25,10.18,239,289,58.8594704684318
"Nick Foligno","CBJ","L",50,179,528,33,30,9.47,299,349,66.0984848484848
"Nick Foligno","TOR","L",50,179,528,33,30,9.47,299,349,66.0984848484848
"Noel Acciari","BOS","C",50,168,396,32,25,12.63,178,228,57.5757575757576
"Noel Acciari","FLA","C",50,168,396,32,25,12.63,178,228,57.5757575757576
"Shayne Gostisbehere","PHI","D",50,291,628,36,48,7.96,287,337,53.6624203821656
"Tyson Barrie","COL","D",50,327,876,37,48,5.71,499,549,62.6712328767123
"Tyson Barrie","EDM","D",50,327,876,37,48,5.71,499,549,62.6712328767123
"Tyson Barrie","TOR","D",50,327,876,37,48,5.71,499,549,62.6712328767123
"Nick Bjugstad","MIN","C",49,176,467,29,26,10.49,242,291,62.3126338329765
"Nick Bjugstad","PIT","C",49,176,467,29,26,10.49,242,291,62.3126338329765
"Pat Maroon","STL","L",49,199,475,31,23,10.32,227,276,58.1052631578947
"Pat Maroon","T.B","L",49,199,475,31,23,10.32,227,276,58.1052631578947
"Trevor Moore","L.A","C",49,236,537,29,28,9.12,252,301,56.0521415270019
"Trevor Moore","TOR","L",49,236,537,29,28,9.12,252,301,56.0521415270019
"Trevor Zegras","ANA","C",49,165,369,35,30,13.28,155,204,55.2845528455285
"Andreas Johnsson","N.J","L",48,131,375,30,27,12.8,196,244,65.0666666666667
"Andreas Johnsson","TOR","L",48,131,375,30,27,12.8,196,244,65.0666666666667
"Brady Skjei","CAR","D",48,323,784,29,45,6.12,413,461,58.8010204081633
"Brady Skjei","NYR","D",48,323,784,29,45,6.12,413,461,58.8010204081633
"Dylan Cozens","BUF","C",48,131,384,32,27,12.5,205,253,65.8854166666667
"Jeff Petry","MTL","D",48,343,697,35,49,6.89,306,354,50.7890961262554
"Mattias Janmark","DAL","C",48,178,468,27,25,10.26,242,290,61.965811965812
"Mattias Janmark","VGK","C",48,178,468,27,25,10.26,242,290,61.965811965812
"Nicolas Roy","CAR","C",48,161,374,31,23,12.83,165,213,56.951871657754
"Nicolas Roy","VGK","C",48,161,374,31,23,12.83,165,213,56.951871657754
"Pierre Engvall","TOR","L",48,172,416,29,31,11.54,196,244,58.6538461538462
"Ryan Dzingel","CAR","C",48,110,302,33,27,15.89,144,192,63.5761589403974
"Ryan Dzingel","CBJ","C",48,110,302,33,27,15.89,144,192,63.5761589403974
"Ryan Dzingel","OTT","L",48,110,302,33,27,15.89,144,192,63.5761589403974
"Sean Kuraly","BOS","C",48,200,566,31,34,8.48,318,366,64.6643109540636
"Tyson Jost","COL","C",48,176,534,32,28,8.99,310,358,67.0411985018727
"Casey Mittelstadt","BUF","C",47,139,376,34,30,12.5,190,237,63.031914893617
"John Klingberg","DAL","D",47,342,675,35,47,6.96,286,333,49.3333333333333
"Kaapo Kakko","NYR","R",47,150,372,32,29,12.63,175,222,59.6774193548387
"Brett Connolly","CHI","R",46,96,251,33,28,18.33,109,155,61.7529880478088
"Brett Connolly","FLA","R",46,96,251,33,28,18.33,109,155,61.7529880478088
"Brett Connolly","WSH","R",46,96,251,33,28,18.33,109,155,61.7529880478088
"Rasmus Dahlin","BUF","D",46,238,711,39,46,6.47,427,473,66.5260196905767
"Travis Boyd","VAN","C",46,129,226,31,22,20.35,51,97,42.9203539823009
"Travis Boyd","WSH","C",46,129,226,31,22,20.35,51,97,42.9203539823009
"Zach Sanford","STL","L",46,188,336,29,26,13.69,102,148,44.047619047619
"Eeli Tolvanen","NSH","R",45,165,332,32,34,13.55,122,167,50.3012048192771
"Jason Spezza","DAL","C",45,147,368,28,31,12.23,176,221,60.054347826087
"Jason Spezza","TOR","C",45,147,368,28,31,12.23,176,221,60.054347826087
"Josh Morrissey","WPG","D",45,315,660,36,46,6.82,300,345,52.2727272727273
"Owen Tippett","FLA","R",45,157,412,30,31,10.92,210,255,61.8932038834951
"Alex Wennberg","FLA","C",44,95,250,33,26,17.6,111,155,62
"Derek Grant","ANA","C",44,157,399,27,31,11.03,198,242,60.6516290726817
"Ivan Provorov","PHI","D",44,256,685,31,46,6.42,385,429,62.6277372262774
"Jordan Greenway","MIN","L",44,198,464,31,28,9.48,222,266,57.3275862068966
"Jordan Martinook","CAR","L",44,295,532,27,27,8.27,193,237,44.5488721804511
"Mathieu Joseph","T.B","R",44,141,304,28,28,14.47,119,163,53.6184210526316
"Michael Amadio","L.A","C",44,104,298,29,27,14.77,150,194,65.1006711409396
"Michael Amadio","OTT","C",44,104,298,29,27,14.77,150,194,65.1006711409396
"Mikhail Sergachev","T.B","D",44,341,738,33,48,5.96,353,397,53.7940379403794
"Nick Cousins","ARI","C",44,181,541,31,28,8.13,316,360,66.543438077634
"Nick Cousins","NSH","C",44,181,541,31,28,8.13,316,360,66.543438077634
"Nick Cousins","VGK","C",44,181,541,31,28,8.13,316,360,66.543438077634
"Thomas Chabot","OTT","D",44,296,786,39,47,5.6,446,490,62.3409669211196
"Frederick Gaudreau","NSH","C",43,115,331,30,30,12.99,173,216,65.2567975830816
"Frederick Gaudreau","PIT","C",43,115,331,30,30,12.99,173,216,65.2567975830816
"Gabriel Vilardi","L.A","C",43,85,217,31,23,19.82,89,132,60.8294930875576
"Mark Giordano","CGY","D",43,400,796,31,50,5.4,353,396,49.748743718593
"Pius Suter","CHI","C",43,110,341,33,25,12.61,188,231,67.741935483871
"Zack Kassian","EDM","R",43,109,293,32,24,14.68,141,184,62.7986348122867
"Colin White","OTT","C",42,172,350,30,25,12,136,178,50.8571428571429
"Milan Lucic","CGY","L",42,190,375,30,27,11.2,143,185,49.3333333333333
"Milan Lucic","EDM","L",42,190,375,30,27,11.2,143,185,49.3333333333333
"Pierre-Edouard Bellemare","COL","C",42,150,394,27,32,10.66,202,244,61.9289340101523
"Pierre-Edouard Bellemare","VGK","C",42,150,394,27,32,10.66,202,244,61.9289340101523
"Tyler Bozak","STL","C",42,104,346,30,30,12.14,200,242,69.9421965317919
"Adam Fox","NYR","D",41,201,561,38,42,7.31,319,360,64.1711229946524
"Derek Stepan","ARI","C",41,210,586,30,34,7,335,376,64.1638225255973
"Derek Stepan","OTT","C",41,210,586,30,34,7,335,376,64.1638225255973
"Jake Virtanen","VAN","R",41,155,328,26,30,12.5,132,173,52.7439024390244
"Jason Dickinson","DAL","C",41,172,441,26,29,9.3,228,269,60.9977324263039
"Jesse Puljujarvi","EDM","R",41,202,461,32,27,8.89,218,259,56.1822125813449
"Mike Matheson","FLA","D",41,225,574,33,45,7.14,308,349,60.801393728223
"Mike Matheson","PIT","D",41,225,574,33,45,7.14,308,349,60.801393728223
"Seth Jones","CBJ","D",41,306,772,35,47,5.31,425,466,60.3626943005181
"Tony DeAngelo","NYR","D",41,177,589,36,46,6.96,371,412,69.9490662139219
"Yakov Trenin","NSH","C",41,167,342,31,28,11.99,134,175,51.1695906432749
"Damon Severson","N.J","D",40,232,584,33,45,6.85,312,352,60.2739726027397
"Sam Gagner","DET","C",40,130,406,34,30,9.85,236,276,67.9802955665025
"Sam Gagner","EDM","C",40,130,406,34,30,9.85,236,276,67.9802955665025
"Tyler Ennis","EDM","C",40,150,339,33,25,11.8,149,189,55.7522123893805
"Tyler Ennis","TOR","L",40,150,339,33,25,11.8,149,189,55.7522123893805
"Tyler Motte","VAN","C",40,179,427,29,32,9.37,208,248,58.07962529274
"Zach Aston-Reese","PIT","C",40,160,402,27,28,9.95,202,242,60.1990049751244
"Zach Aston-Reese","PIT","L",40,160,402,27,28,9.95,202,242,60.1990049751244
"Drew Doughty","L.A","D",39,257,606,38,48,6.44,310,349,57.5907590759076
"Mason Marchment","FLA","L",39,149,321,32,27,12.15,133,172,53.5825545171339
"Mason Marchment","TOR","L",39,149,321,32,27,12.15,133,172,53.5825545171339
"Matt Nieto","COL","L",39,137,416,28,28,9.38,240,279,67.0673076923077
"Matt Nieto","S.J","L",39,137,416,28,28,9.38,240,279,67.0673076923077
"Shea Weber","MTL","D",39,250,491,33,53,7.94,202,241,49.0835030549898
"Vinnie Hinostroza","ARI","C",39,134,410,28,30,9.51,237,276,67.3170731707317
"Vinnie Hinostroza","ARI","R",39,134,410,28,30,9.51,237,276,67.3170731707317
"Vinnie Hinostroza","CHI","L",39,134,410,28,30,9.51,237,276,67.3170731707317
"Alex Galchenyuk","ARI","C",38,160,375,32,28,10.13,177,215,57.3333333333333
"Alex Galchenyuk","MIN","C",38,160,375,32,28,10.13,177,215,57.3333333333333
"Alex Galchenyuk","TOR","C",38,160,375,32,28,10.13,177,215,57.3333333333333
"Cam Fowler","ANA","D",38,183,496,35,45,7.66,275,313,63.1048387096774
"Charlie McAvoy","BOS","D",38,277,614,31,44,6.19,299,337,54.885993485342
"Christian Fischer","ARI","R",38,139,418,28,28,9.09,241,279,66.7464114832536
"Eric Robinson","CBJ","L",38,134,341,28,28,11.14,169,207,60.7038123167155
"Joe Thornton","S.J","C",38,81,228,33,28,16.67,109,147,64.4736842105263
"Joe Thornton","TOR","C",38,81,228,33,28,16.67,109,147,64.4736842105263
"Josh Archibald","ARI","R",38,130,270,28,29,14.07,102,140,51.8518518518518
"Josh Archibald","EDM","R",38,130,270,28,29,14.07,102,140,51.8518518518518
"Mattias Ekholm","NSH","D",38,333,718,31,48,5.29,347,385,53.6211699164345
"Max Comtois","ANA","L",38,152,257,31,26,14.79,67,105,40.8560311284047
"Ryan Pulock","NYI","D",38,286,768,31,49,4.95,444,482,62.7604166666667
"Jacob Trouba","NYR","D",37,333,853,31,48,4.34,483,520,60.9613130128957
"Jacob Trouba","WPG","D",37,333,853,31,48,4.34,483,520,60.9613130128957
"Teddy Blueger","PIT","C",37,90,352,29,28,10.51,225,262,74.4318181818182
"Travis Zajac","N.J","C",37,90,223,32,27,16.59,96,133,59.6412556053812
"Travis Zajac","NYI","C",37,90,223,32,27,16.59,96,133,59.6412556053812
"Wayne Simmonds","BUF","R",37,144,397,34,25,9.32,216,253,63.727959697733
"Wayne Simmonds","NSH","R",37,144,397,34,25,9.32,216,253,63.727959697733
"Wayne Simmonds","TOR","R",37,144,397,34,25,9.32,216,253,63.727959697733
"Zemgus Girgensons","BUF","C",37,142,331,29,28,11.18,152,189,57.0996978851964
"Austin Watson","NSH","L",36,144,306,28,34,11.76,126,162,52.9411764705882
"Austin Watson","OTT","L",36,144,306,28,34,11.76,126,162,52.9411764705882
"Brett Howden","NYR","C",36,135,258,25,23,13.95,87,123,47.6744186046512
"Chris Tierney","OTT","C",36,127,327,31,29,11.01,164,200,61.1620795107034
"Cody Eakin","BUF","C",36,105,272,29,32,13.24,131,167,61.3970588235294
"Cody Eakin","VGK","C",36,105,272,29,32,13.24,131,167,61.3970588235294
"Cody Eakin","WPG","C",36,105,272,29,32,13.24,131,167,61.3970588235294
"Colton Parayko","STL","D",36,301,754,28,48,4.77,417,453,60.079575596817
"Justin Williams","CAR","R",36,120,323,33,30,11.15,167,203,62.8482972136223
"Luke Glendening","DET","C",36,198,409,26,26,8.8,175,211,51.5892420537897
"Mathieu Perreault","WPG","L",36,99,224,28,30,16.07,89,125,55.8035714285714
"Matt Dumba","MIN","D",36,278,571,34,47,6.3,257,293,51.3134851138354
"Michael Rasmussen","DET","C",36,121,316,31,22,11.39,159,195,61.7088607594937
"Tomas Nosek","VGK","L",36,171,420,29,25,8.57,213,249,59.2857142857143
"Torey Krug","BOS","D",36,312,719,34,47,5.01,371,407,56.6063977746871
"Torey Krug","STL","D",36,312,719,34,47,5.01,371,407,56.6063977746871
"Brian Boyle","FLA","C",35,92,250,32,29,14,123,158,63.2
"Brian Boyle","NSH","C",35,92,250,32,29,14,123,158,63.2
"Carl Grundstrom","L.A","R",35,132,267,30,28,13.11,100,135,50.561797752809
"Erik Gustafsson","CGY","D",35,258,494,33,48,7.09,201,236,47.7732793522267
"Erik Gustafsson","CHI","D",35,258,494,33,48,7.09,201,236,47.7732793522267
"Erik Gustafsson","MTL","D",35,258,494,33,48,7.09,201,236,47.7732793522267
"James Neal","CGY","L",35,125,320,34,27,10.94,160,195,60.9375
"James Neal","EDM","L",35,125,320,34,27,10.94,160,195,60.9375
"Nico Sturm","MIN","C",35,97,274,27,27,12.77,142,177,64.5985401459854
"Ryan Getzlaf","ANA","C",35,214,416,34,34,8.41,167,202,48.5576923076923
"Sam Steel","ANA","C",35,126,282,33,26,12.41,121,156,55.3191489361702
"Tanner Jeannot","NSH","L",35,116,230,33,24,15.22,79,114,49.5652173913044
"Adam Erne","DET","L",34,131,335,28,28,10.15,170,204,60.8955223880597
"Adam Erne","T.B","L",34,131,335,28,28,10.15,170,204,60.8955223880597
"Cal Clutterbuck","NYI","R",34,152,322,29,27,10.56,136,170,52.7950310559006
"David Kampf","CHI","C",34,148,442,28,27,7.69,260,294,66.5158371040724
"Dmitry Orlov","WSH","D",34,236,552,35,44,6.16,282,316,57.2463768115942
"Dominik Kahun","BUF","C",34,72,260,31,29,13.08,154,188,72.3076923076923
"Dominik Kahun","CHI","C",34,72,260,31,29,13.08,154,188,72.3076923076923
"Dominik Kahun","EDM","C",34,72,260,31,29,13.08,154,188,72.3076923076923
"Gustav Forsling","CHI","D",34,181,545,29,47,6.24,330,364,66.7889908256881
"Gustav Forsling","FLA","D",34,181,545,29,47,6.24,330,364,66.7889908256881
"Jaccob Slavin","CAR","D",34,372,759,31,47,4.48,353,387,50.9881422924901
"Jonathan Drouin","MTL","L",34,144,428,32,32,7.94,250,284,66.3551401869159
"Kirby Dach","CHI","C",34,137,332,38,24,10.24,161,195,58.7349397590361
"Mason Appleton","WPG","C",34,134,330,30,30,10.3,162,196,59.3939393939394
"Matt Martin","NYI","L",34,145,350,27,29,9.71,171,205,58.5714285714286
"Nate Schmidt","VAN","D",34,239,570,30,49,5.96,297,331,58.0701754385965
"Nate Schmidt","VGK","D",34,239,570,30,49,5.96,297,331,58.0701754385965
"Oliver Ekman-Larsson","ARI","D",34,305,627,33,49,5.42,288,322,51.3556618819777
"Rasmus Andersson","CGY","D",34,273,663,32,48,5.13,356,390,58.8235294117647
"Travis Sanheim","PHI","D",34,210,549,28,44,6.19,305,339,61.7486338797814
"Alexis Lafreniere","NYR","L",33,84,173,31,28,19.08,56,89,51.4450867052023
"Andrew Cogliano","DAL","C",33,156,446,25,29,7.4,257,290,65.0224215246637
"Esa Lindell","DAL","D",33,199,649,29,46,5.08,417,450,69.3374422187981
"Oliver Wahlstrom","NYI","R",33,125,309,32,31,10.68,151,184,59.546925566343
"Sonny Milano","ANA","L",33,112,227,30,24,14.54,82,115,50.6607929515419
"Sonny Milano","CBJ","L",33,112,227,30,24,14.54,82,115,50.6607929515419
"Tyler Pitlick","ARI","C",33,141,290,28,30,11.38,116,149,51.3793103448276
"Tyler Pitlick","DAL","C",33,141,290,28,30,11.38,116,149,51.3793103448276
"Tyler Pitlick","PHI","C",33,141,290,28,30,11.38,116,149,51.3793103448276
"Artem Anisimov","CHI","C",32,125,227,32,26,14.1,70,102,44.9339207048458
"Artem Anisimov","OTT","C",32,125,227,32,26,14.1,70,102,44.9339207048458
"Barrett Hayton","ARI","C",32,104,267,32,25,11.99,131,163,61.0486891385768
"Brad Richardson","ARI","C",32,94,238,27,29,13.45,112,144,60.5042016806723
"Brad Richardson","NSH","R",32,94,238,27,29,13.45,112,144,60.5042016806723
"Brendan Lemieux","L.A","L",32,130,295,28,29,10.85,133,165,55.9322033898305
"Brendan Lemieux","NYR","L",32,130,295,28,29,10.85,133,165,55.9322033898305
"Brett Pesce","CAR","D",32,335,662,30,49,4.83,295,327,49.3957703927492
"Eetu Luostarinen","CAR","C",32,106,251,29,25,12.75,113,145,57.7689243027888
"Eetu Luostarinen","FLA","C",32,106,251,29,25,12.75,113,145,57.7689243027888
"Mark Jankowski","CGY","C",32,127,219,28,28,14.61,60,92,42.0091324200913
"Mark Jankowski","PIT","C",32,127,219,28,28,14.61,60,92,42.0091324200913
"Michael Raffl","PHI","L",32,108,274,28,28,11.68,134,166,60.5839416058394
"Michael Raffl","WSH","L",32,108,274,28,28,11.68,134,166,60.5839416058394
"Nikita Zadorov","CHI","D",32,233,467,27,49,6.85,202,234,50.1070663811563
"Nikita Zadorov","COL","D",32,233,467,27,49,6.85,202,234,50.1070663811563
"Ondrej Kase","ANA","R",32,146,367,30,30,8.72,189,221,60.2179836512262
"Ondrej Kase","BOS","R",32,146,367,30,30,8.72,189,221,60.2179836512262
"Paul Byron","MTL","L",32,64,193,25,24,16.58,97,129,66.839378238342
"Josh Leivo","CGY","L",31,164,336,32,29,9.23,141,172,51.1904761904762
"Josh Leivo","VAN","L",31,164,336,32,29,9.23,141,172,51.1904761904762
"Noah Hanifin","CGY","D",31,381,737,27,47,4.21,325,356,48.3039348710991
"Patrick Marleau","PIT","C",31,127,311,30,24,9.97,153,184,59.1639871382637
"Patrick Marleau","S.J","C",31,127,311,30,24,9.97,153,184,59.1639871382637
"Patrick Marleau","TOR","C",31,127,311,30,24,9.97,153,184,59.1639871382637
"Alec Martinez","L.A","D",30,209,429,29,47,6.99,190,220,51.2820512820513
"Alec Martinez","VGK","D",30,209,429,29,47,6.99,190,220,51.2820512820513
"Ben Chiarot","MTL","D",30,235,617,30,50,4.86,352,382,61.9124797406807
"Ben Chiarot","WPG","D",30,235,617,30,50,4.86,352,382,61.9124797406807
"Blake Lizotte","L.A","C",30,137,314,28,27,9.55,147,177,56.3694267515924
"Evan Bouchard","EDM","D",30,178,447,36,50,6.71,239,269,60.1789709172259
"Filip Hronek","DET","D",30,235,541,34,48,5.55,276,306,56.5619223659889
"MacKenzie Weegar","FLA","D",30,234,636,28,45,4.72,372,402,63.2075471698113
"Noah Dobson","NYI","D",30,230,508,38,50,5.91,248,278,54.7244094488189
"Ryan Graves","COL","D",30,215,541,29,49,5.55,296,326,60.2587800369686
"Tim Stutzle","OTT","L",30,85,242,40,27,12.4,127,157,64.8760330578512
"Trevor Lewis","L.A","C",30,183,487,26,34,6.16,274,304,62.4229979466119
"Trevor Lewis","WPG","C",30,183,487,26,34,6.16,274,304,62.4229979466119
"Jamie Oleksiak","DAL","D",29,166,408,28,44,7.11,213,242,59.3137254901961
"Trent Frederic","BOS","C",29,91,268,28,31,10.82,148,177,66.044776119403
"Valtteri Filppula","DET","C",29,52,144,31,24,20.14,63,92,63.8888888888889
"Valtteri Filppula","NYI","C",29,52,144,31,24,20.14,63,92,63.8888888888889
"Adam Gaudette","CHI","C",28,131,267,29,29,10.49,108,136,50.936329588015
"Adam Gaudette","VAN","C",28,131,267,29,29,10.49,108,136,50.936329588015
"Alex Newhook","COL","C",28,72,224,32,28,12.5,124,152,67.8571428571429
"Alexander Barabanov","S.J","L",28,88,218,33,24,12.84,102,130,59.6330275229358
"Arthur Kaliyev","L.A","R",28,126,305,30,32,9.18,151,179,58.6885245901639
"Colin Blackwell","NSH","C",28,85,209,27,31,13.4,96,124,59.3301435406699
"Colin Blackwell","NYR","C",28,85,209,27,31,13.4,96,124,59.3301435406699
"Darren Helm","DET","L",28,106,396,28,34,7.07,262,290,73.2323232323232
"Filip Zadina","DET","R",28,124,352,36,29,7.95,200,228,64.7727272727273
"Jesper Boqvist","N.J","C",28,93,191,29,30,14.66,70,98,51.3089005235602
"Neal Pionk","NYR","D",28,307,700,32,51,4,365,393,56.1428571428571
"Neal Pionk","WPG","D",28,307,700,32,51,4,365,393,56.1428571428571
"Nicolas Deslauriers","ANA","L",28,153,308,29,30,9.09,127,155,50.3246753246753
"Nicolas Deslauriers","MTL","L",28,153,308,29,30,9.09,127,155,50.3246753246753
"Quinn Hughes","VAN","D",28,236,533,43,49,5.25,269,297,55.7223264540338
"Rocco Grimaldi","NSH","C",28,100,266,28,29,10.53,138,166,62.406015037594
"Rocco Grimaldi","NSH","R",28,100,266,28,29,10.53,138,166,62.406015037594
"Rudolfs Balcers","OTT","L",28,89,231,29,27,12.12,114,142,61.4718614718615
"Rudolfs Balcers","S.J","L",28,89,231,29,27,12.12,114,142,61.4718614718615
"Ryan Reaves","VGK","R",28,113,281,29,25,9.96,140,168,59.7864768683274
"Ryan Suter","MIN","D",28,306,552,33,49,5.07,218,246,44.5652173913043
"Sammy Blais","STL","L",28,87,204,30,23,13.73,89,117,57.3529411764706
"Bobby Ryan","DET","R",27,114,248,31,33,10.89,107,134,54.0322580645161
"Bobby Ryan","OTT","R",27,114,248,31,33,10.89,107,134,54.0322580645161
"Drake Caggiula","BUF","C",27,70,205,29,27,13.17,108,135,65.8536585365854
"Drake Caggiula","CHI","C",27,70,205,29,27,13.17,108,135,65.8536585365854
"Johan Larsson","ARI","L",27,119,218,31,29,12.39,72,99,45.4128440366972
"Johan Larsson","BUF","C",27,119,218,31,29,12.39,72,99,45.4128440366972
"Kevin Shattenkirk","ANA","D",27,231,696,32,48,3.88,438,465,66.8103448275862
"Kevin Shattenkirk","NYR","D",27,231,696,32,48,3.88,438,465,66.8103448275862
"Kevin Shattenkirk","T.B","D",27,231,696,32,48,3.88,438,465,66.8103448275862
"Nicolas Aube-Kubel","PHI","R",27,128,259,28,30,10.42,104,131,50.5791505791506
"P.K. Subban","N.J","D",27,220,521,31,52,5.18,274,301,57.7735124760077
"P.K. Subban","NSH","D",27,220,521,31,52,5.18,274,301,57.7735124760077
"Victor Rask","MIN","C",27,77,184,30,33,14.67,80,107,58.1521739130435
"Adam Larsson","EDM","D",26,263,494,29,51,5.26,205,231,46.7611336032389
"Devin Shore","ANA","C",26,93,210,26,27,12.38,91,117,55.7142857142857
"Devin Shore","EDM","C",26,93,210,26,27,12.38,91,117,55.7142857142857
"Emil Bemstrom","CBJ","C",26,105,259,31,31,10.04,128,154,59.4594594594595
"Ilya Kovalchuk","L.A","L",26,90,235,34,35,11.06,119,145,61.7021276595745
"Ilya Kovalchuk","WSH","L",26,90,235,34,35,11.06,119,145,61.7021276595745
"Jake Muzzin","TOR","D",26,178,425,26,48,6.12,221,247,58.1176470588235
"Max Jones","ANA","L",26,130,317,28,25,8.2,161,187,58.9905362776025
"Morgan Frost","PHI","C",26,93,245,31,28,10.61,126,152,62.0408163265306
"Nick Paul","OTT","L",26,158,344,30,32,7.56,160,186,54.0697674418605
"Nils Hoglander","VAN","L",26,80,253,28,27,10.28,147,173,68.3794466403162
"Noah Gregor","S.J","C",26,136,342,28,30,7.6,180,206,60.233918128655
"Richard Panik","ARI","R",26,115,248,28,29,10.48,107,133,53.6290322580645
"Richard Panik","DET","R",26,115,248,28,29,10.48,107,133,53.6290322580645
"Richard Panik","WSH","R",26,115,248,28,29,10.48,107,133,53.6290322580645
"Ryan Lomberg","CGY","L",26,120,275,30,27,9.45,129,155,56.3636363636364
"Ryan Lomberg","FLA","L",26,120,275,30,27,9.45,129,155,56.3636363636364
"Samuel Girard","COL","D",26,219,525,32,50,4.95,280,306,58.2857142857143
"Stefan Noesen","N.J","R",26,151,272,30,24,9.56,95,121,44.4852941176471
"Stefan Noesen","S.J","R",26,151,272,30,24,9.56,95,121,44.4852941176471
"Stefan Noesen","TOR","R",26,151,272,30,24,9.56,95,121,44.4852941176471
"Cedric Paquette","CAR","C",25,100,213,29,26,11.74,88,113,53.0516431924883
"Cedric Paquette","T.B","C",25,100,213,29,26,11.74,88,113,53.0516431924883
"Curtis Lazar","BOS","C",25,92,232,27,24,10.78,115,140,60.3448275862069
"Curtis Lazar","BUF","C",25,92,232,27,24,10.78,115,140,60.3448275862069
"Curtis Lazar","CGY","C",25,92,232,27,24,10.78,115,140,60.3448275862069
"Hampus Lindholm","ANA","D",25,232,549,29,47,4.55,292,317,57.7413479052823
"Isac Lundestrom","ANA","C",25,81,193,28,25,12.95,87,112,58.0310880829015
"Matt Grzelcyk","BOS","D",25,221,544,27,48,4.6,298,323,59.375
"Nathan Bastian","N.J","R",25,104,206,31,22,12.14,77,102,49.5145631067961
"Riley Sheahan","BUF","C",25,87,268,27,28,9.33,156,181,67.5373134328358
"Riley Sheahan","EDM","C",25,87,268,27,28,9.33,156,181,67.5373134328358
"Riley Sheahan","FLA","C",25,87,268,27,28,9.33,156,181,67.5373134328358
"Alexandre Texier","CBJ","C",24,83,200,33,30,12,93,117,58.5
"Andrew Shaw","CHI","C",24,60,181,34,25,13.26,97,121,66.8508287292818
"Andrew Shaw","CHI","R",24,60,181,34,25,13.26,97,121,66.8508287292818
"Andrew Shaw","MTL","R",24,60,181,34,25,13.26,97,121,66.8508287292818
"Chris Wagner","BOS","R",24,118,304,28,30,7.89,162,186,61.1842105263158
"Connor Murphy","CHI","D",24,129,425,27,51,5.65,272,296,69.6470588235294
"Denis Malgin","FLA","C",24,89,210,30,29,11.43,97,121,57.6190476190476
"Denis Malgin","TOR","C",24,89,210,30,29,11.43,97,121,57.6190476190476
"Jonas Brodin","MIN","D",24,170,517,30,50,4.64,323,347,67.1179883945841
"Justin Schultz","PIT","D",24,206,402,30,47,5.97,172,196,48.7562189054726
"Justin Schultz","WSH","D",24,206,402,30,47,5.97,172,196,48.7562189054726
"Kevin Rooney","N.J","C",24,73,239,27,27,10.04,142,166,69.4560669456067
"Kevin Rooney","NYR","C",24,73,239,27,27,10.04,142,166,69.4560669456067
"Marcus Sorensen","S.J","L",24,83,192,28,23,12.5,85,109,56.7708333333333
"Matt Calvert","COL","L",24,51,262,30,26,9.16,187,211,80.5343511450382
"Morgan Geekie","CAR","C",24,108,210,30,28,11.43,78,102,48.5714285714286
"Scott Mayfield","NYI","D",24,261,537,27,49,4.47,252,276,51.3966480446927
"TJ Brodie","CGY","D",24,158,353,28,46,6.8,171,195,55.2407932011331
"TJ Brodie","TOR","D",24,158,353,28,46,6.8,171,195,55.2407932011331
"Alex Formenton","OTT","L",23,59,180,30,24,12.78,98,121,67.2222222222222
"Blake Comeau","DAL","L",23,99,269,28,31,8.55,147,170,63.1970260223048
"Brett Ritchie","BOS","R",23,107,239,25,31,9.62,109,132,55.2301255230126
"Brett Ritchie","CGY","R",23,107,239,25,31,9.62,109,132,55.2301255230126
"Brett Ritchie","DAL","R",23,107,239,25,31,9.62,109,132,55.2301255230126
"Cody Glass","VGK","C",23,82,199,34,25,11.56,94,117,58.7939698492462
"K'Andre Miller","NYR","D",23,131,278,32,46,8.27,124,147,52.8776978417266
"Kyle Clifford","L.A","L",23,129,307,27,32,7.49,155,178,57.9804560260586
"Kyle Clifford","STL","L",23,129,307,27,32,7.49,155,178,57.9804560260586
"Kyle Clifford","TOR","L",23,129,307,27,32,7.49,155,178,57.9804560260586
"Logan O'Connor","COL","R",23,112,298,27,27,7.72,163,186,62.4161073825503
"Lucas Wallmark","CAR","C",23,87,218,26,32,10.55,108,131,60.091743119266
"Lucas Wallmark","FLA","C",23,87,218,26,32,10.55,108,131,60.091743119266
"Philipp Kurashev","CHI","C",23,79,244,34,27,9.43,142,165,67.6229508196721
"Ryan Ellis","NSH","D",23,142,355,32,47,6.48,190,213,60
"Ryan McLeod","EDM","C",23,81,183,32,27,12.57,79,102,55.7377049180328
"Sam Lafferty","PIT","C",23,85,255,27,29,9.02,147,170,66.6666666666667
"Sam Lafferty","PIT","R",23,85,255,27,29,9.02,147,170,66.6666666666667
"Travis Hamonic","CGY","D",23,204,491,30,51,4.68,264,287,58.4521384928717
"Travis Hamonic","VAN","D",23,204,491,30,51,4.68,264,287,58.4521384928717
"Tyler Myers","VAN","D",23,220,630,30,45,3.65,387,410,65.0793650793651
"Tyler Myers","WPG","D",23,220,630,30,45,3.65,387,410,65.0793650793651
"Adam Boqvist","CHI","D",22,94,206,35,42,10.68,90,112,54.3689320388349
"Adam Pelech","NYI","D",22,237,489,27,49,4.5,230,252,51.5337423312883
